,t,true_cdf_0.3,Linear_cdf_0.3,Linear_mise_0.3,Linear_with_delta_cdf_0.3,Linear_with_delta_mise_0.3,Linear_MAR_cdf_0.3,Linear_MAR_mise_0.3,Linear_MAR_with_delta_cdf_0.3,Linear_MAR_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Linear_cdf_0.5,Linear_mise_0.5,Linear_with_delta_cdf_0.5,Linear_with_delta_mise_0.5,Linear_MAR_cdf_0.5,Linear_MAR_mise_0.5,Linear_MAR_with_delta_cdf_0.5,Linear_MAR_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Linear_cdf_0.7,Linear_mise_0.7,Linear_with_delta_cdf_0.7,Linear_with_delta_mise_0.7,Linear_MAR_cdf_0.7,Linear_MAR_mise_0.7,Linear_MAR_with_delta_cdf_0.7,Linear_MAR_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
10,1.368358268851033,0.7244017395659544,0.7561669372906945,0.016458204787978256,0.7397070328985295,0.007042883792981461,0.751084992807932,0.013235986226309523,0.7386961764828668,0.005553508268379559,0.7684580669666493,0.005314685778729273,0.49568566238043055,0.5301248403900065,0.023691315807534287,0.5173483600708179,0.011818525599837032,0.521584213633414,0.01061342768629272,0.516923423406405,0.009208455949245553,0.5569736019289806,0.014659062917744322,0.29956645979548224,0.2951755689844998,0.010567368736234654,0.299835728616178,0.0052819752046132425,0.2876772391045135,0.007097876812980797,0.2960983186828697,0.003982691765758295,0.37047710520156973,0.012595312419374982
11,1.5051940956901957,0.7587378842112487,0.8001636762246127,0.01521939764485151,0.7825524554096727,0.007825153162024253,0.80050047994967,0.013305143571395759,0.781857084598165,0.006773669092356704,0.7953120970621521,0.005333358756538257,0.541814342764904,0.5670764072313234,0.022626935019165666,0.5529811025057941,0.010832914800675079,0.5565917698690562,0.011038837280532756,0.5532010066052928,0.007684898146577102,0.5863107395206363,0.013601780464890734,0.34375647825421185,0.3187409773130011,0.012789875877584614,0.32744582958121793,0.006425249707114705,0.3090742906915509,0.007037930523018,0.32297151181832584,0.004701478971608243,0.4209319082018104,0.015430691766585514
12,1.6420299225293586,0.7888470694515102,0.8421144542230892,0.012609850184341107,0.808593682974035,0.0068787026798246735,0.8379328147773532,0.011518824111787094,0.8081002445816617,0.00645034892139811,0.8199533836726044,0.006371969028545666,0.584692334913255,0.6068858064347336,0.023191607886293354,0.590019058032812,0.010669110919137869,0.6064643846788208,0.015057280070662885,0.5939626889382932,0.00688842672531962,0.628339735452902,0.012242337674944795,0.3872957457215799,0.36401888357772316,0.012142989149874498,0.3747266439579267,0.006841236265747064,0.3608392711647775,0.006069081524698275,0.37282550385793256,0.004916181970815182,0.4649182405232607,0.01599371498660125
13,1.7788657493685216,0.8152375893076096,0.8665711790279284,0.013504800297755077,0.8388040586490911,0.006912141194208979,0.8586130257866713,0.01177042194780514,0.838639356785494,0.006560429877188886,0.8431374332814862,0.006733336940283019,0.6243369740294982,0.6744161196589399,0.03273506396325663,0.6394505906982958,0.010559110779605568,0.6850115068392217,0.02560267167839374,0.6456888658453618,0.00803598125097124,0.6635940280748012,0.016121142405007026,0.4297591674787709,0.4115009441458083,0.012820061509761841,0.41240731275795417,0.00850225949143441,0.42256722582158907,0.00980100162587053,0.4095022411575263,0.0058891832777309095,0.5054416728832802,0.016789849856211396
14,1.9157015762076843,0.838359782268447,0.8843742417445386,0.012708099858194533,0.8662338174469294,0.006798641311087472,0.883500761303238,0.008503241924554017,0.8680975352017093,0.005528993026056474,0.8616391030303208,0.00728274559927673,0.6608273285130208,0.7191562299844687,0.0365667138188959,0.6699799787124084,0.011871217096194348,0.7226681337066573,0.029497739889949942,0.6791707426750595,0.009192635957524353,0.7022955352588205,0.014302979336718055,0.47081809337260083,0.4328130242267932,0.013787147794714733,0.4410359518179011,0.008208625309458921,0.45144151015637873,0.00866155319387157,0.44051827957489753,0.005666883371582427,0.5465613969584624,0.015668777254231624
15,2.052537403046847,0.8586117066035023,0.8929470345341388,0.012127161996073438,0.8750108167624211,0.006837048322108531,0.8932517256957665,0.006885293124343371,0.8792515238423189,0.0050048849965918536,0.8687998254234891,0.006772724905195922,0.6942849836183695,0.7687077284642165,0.02730184670789538,0.7055493258180456,0.009564944572159017,0.7683433520222244,0.02308790564795584,0.7162673019178307,0.0060816219693081795,0.7248612800914652,0.013190354728405424,0.5102269920695839,0.4634902512345775,0.020515206781668495,0.4724151053955339,0.009671756322722935,0.49235484435689403,0.01744334950119798,0.48422840050105426,0.011612261678544237,0.5966494315113776,0.01909391989228585
16,2.18937322988601,0.8763445754832684,0.9056491158463226,0.011777025891156213,0.8919628456154551,0.006830433393273358,0.9052463334962889,0.007194177889030424,0.8942234207441784,0.005118935380657064,0.8772083112113667,0.007377169552010375,0.7248595800387779,0.7984436885341581,0.029335983650210763,0.7329333068377405,0.006662157687280483,0.7897008207995067,0.02175561195562093,0.7394092785923032,0.007250998950788951,0.7336830550166021,0.010525008894335646,0.5478110132538215,0.480108319976169,0.024245060798135192,0.48837398274728167,0.012458511022483186,0.5072347823491159,0.01687602673769089,0.49885633578601113,0.012437857877509517,0.6019215191825946,0.015730883669071292
17,2.326209056725173,0.8918678291766646,0.9135283961535879,0.01182463866058885,0.9053931819769112,0.007218708731982217,0.9197231726869978,0.006791374521855581,0.9109651198254147,0.005401700479100376,0.9118198072933754,0.008616306095261981,0.7527179487319626,0.8496820311828769,0.03087794360367834,0.7718315391404993,0.011021364053855856,0.8358128959814183,0.02732983748692392,0.7751609280263506,0.01158214280259171,0.7685667599082202,0.01613271743225792,0.5834546599144047,0.5170942786711165,0.0285465027578927,0.5318041730475477,0.015785378552741126,0.5445738280204121,0.01781389840302871,0.5425276604621543,0.012876001528283654,0.6368376290840448,0.019777783601941178
18,2.463044883564336,0.905453791404122,0.9240872698736027,0.0077023664125386564,0.9209378855352062,0.004086163286307296,0.9291046116151195,0.005420760409938637,0.9233266883581269,0.0037841492996315723,0.9404939200051153,0.005414818164093568,0.7780359881158496,0.8936661652641629,0.02894682835253288,0.8007301244765446,0.013003406859704053,0.8777411500598001,0.026919098965761768,0.8053980256865279,0.012844588001332197,0.7955088646929431,0.012395764870231765,0.6170916564616444,0.5590516889477317,0.03163026740596371,0.5756320757097867,0.017069275543346876,0.5902467737927952,0.01865871635115134,0.5883529437126345,0.012684311675631017,0.660963949317338,0.01834318451950468
19,2.5998807104034984,0.9173418968324845,0.9457915268492216,0.007218974567193154,0.9346510051653171,0.004610051592233179,0.9436194279177716,0.005628385070964046,0.935221740045239,0.004322797916965878,0.9432734324026519,0.0049254708472965284,0.800992643749951,0.9104824470927457,0.02715295309291977,0.8210894998313494,0.015235940440447581,0.8928606423896828,0.024255055141443257,0.8289070291670196,0.014785113290123992,0.8134323310550687,0.014308294750270964,0.6486960140605953,0.598734717365567,0.0359466003524939,0.6079407777137915,0.023740509376798263,0.6454927039112237,0.028375356558441443,0.6212678201136036,0.0186740782744164,0.6721990315192886,0.016565470106541694
