,t,true_cdf_0.3,Standard_beran_cdf_0.3,LogisticRegression_cdf_0.3,Standard_beran_mise_0.3,LogisticRegression_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,LogisticRegression_cdf_0.5,Standard_beran_mise_0.5,LogisticRegression_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,LogisticRegression_cdf_0.7,Standard_beran_mise_0.7,LogisticRegression_mise_0.7
10,-0.41351060723584343,0.043478260869565216,0.0,0.0,0.0018903591682419662,0.0018903591682419662,0.043478260869565216,0.0434782608695653,0.038633075184143675,6.933347799794049e-33,2.43067005511381e-05,0.043478260869565216,0.0434782608695653,0.038633075184143675,6.933347799794049e-33,2.43067005511381e-05
11,-0.3640390265455634,0.04743083003952569,0.0,0.0,0.002249683638238373,0.002249683638238373,0.04743083003952569,0.04743083003952586,0.04212408794633673,3.009265538105056e-32,2.920225025795492e-05,0.04743083003952569,0.04743083003952586,0.04212408794633673,3.009265538105056e-32,2.920225025795492e-05
12,-0.3145674458552834,0.05731225296442688,0.0,0.0,0.0032846943398584577,0.0032846943398584577,0.05731225296442688,0.05731225296442699,0.05098345992049562,1.232595164407831e-32,4.162261362411428e-05,0.05731225296442688,0.05731225296442699,0.05098345992049562,1.232595164407831e-32,4.162261362411428e-05
13,-0.2650958651650035,0.06719367588932806,0.0,0.0,0.004514990079520068,0.004514990079520068,0.06719367588932806,0.06719367588932812,0.05992823136851706,3.0814879110195774e-33,5.4852553366538026e-05,0.06719367588932806,0.06719367588932812,0.05992823136851706,3.0814879110195774e-33,5.4852553366538026e-05
14,-0.21562428447472348,0.07114624505928854,0.0,0.0,0.0050617881860363385,0.0050617881860363385,0.07114624505928854,0.07114624505928857,0.06324644663189188,7.703719777548943e-34,6.482934463573355e-05,0.07114624505928854,0.07114624505928857,0.06324644663189188,7.703719777548943e-34,6.482934463573355e-05
15,-0.16615270378444358,0.08102766798418973,0.0,0.0,0.0065654829789560856,0.0065654829789560856,0.08102766798418973,0.08102766798418981,0.07177547979448391,6.933347799794049e-33,8.88895707603644e-05,0.08102766798418973,0.08102766798418981,0.07177547979448391,6.933347799794049e-33,8.88895707603644e-05
16,-0.11668112309416356,0.08893280632411067,0.0,0.0,0.00790904404068178,0.00790904404068178,0.08893280632411067,0.08893280632411071,0.07709231167740797,1.7333369499485123e-33,0.00014378035380251908,0.08893280632411067,0.08893280632411071,0.07709231167740797,1.7333369499485123e-33,0.00014378035380251908
17,-0.06720954240388355,0.1007905138339921,0.0,0.0,0.01015872767892015,0.01015872767892015,0.1007905138339921,0.10079051383399207,0.08585709936434628,7.703719777548943e-34,0.00022732472538848186,0.1007905138339921,0.10079051383399207,0.08585709936434628,7.703719777548943e-34,0.00022732472538848186
18,-0.017737961713603645,0.11264822134387352,0.0,0.0,0.01268962177193832,0.01268962177193832,0.11264822134387352,0.11264822134387345,0.0950492331955107,9.437056727497456e-33,0.00031519334767785674,0.11264822134387352,0.11264822134387345,0.0950492331955107,9.437056727497456e-33,0.00031519334767785674
19,0.03173361897667637,0.13636363636363635,0.0,0.0,0.018595041322314047,0.018595041322314047,0.13636363636363635,0.13648248172732189,0.1220191971833452,1.535851711179706e-08,0.00021932054605678769,0.13636363636363635,0.13648248172732189,0.1220191971833452,1.535851711179706e-08,0.00021932054605678769
20,0.08120519966695627,0.15217391304347827,0.0,0.02464918488287171,0.023156899810964086,0.021730502218878543,0.15217391304347827,0.15156910970763668,0.14442375526930426,2.049873735439404e-06,7.354444048602858e-05,0.15217391304347827,0.15156910970763668,0.14442375526930426,2.049873735439404e-06,7.354444048602858e-05
21,0.1306767803572364,0.17391304347826086,0.0,0.09724480132754068,0.03024574669187146,0.04469051727706823,0.17391304347826086,0.17288645851384013,0.17096184338975978,1.0222340744957107e-05,4.01720696361599e-05,0.17391304347826086,0.17288645851384013,0.17096184338975978,1.0222340744957107e-05,4.01720696361599e-05
22,0.1801483610475163,0.191699604743083,0.0,0.10673017945265979,0.03674873845865425,0.0449768490865171,0.191699604743083,0.184806010672267,0.1913327336651683,6.269313595533009e-05,4.6637120930593326e-05,0.191699604743083,0.184806010672267,0.1913327336651683,6.269313595533009e-05,4.6637120930593326e-05
23,0.2296199417377962,0.20553359683794467,0.0,0.10673017945265979,0.04224405942914278,0.047519161139343104,0.20553359683794467,0.20394327646485352,0.21575655859183018,1.923464131860726e-05,0.00015603479214641418,0.20553359683794467,0.20394327646485352,0.21575655859183018,1.923464131860726e-05,0.00015603479214641418
24,0.27909152242807633,0.21739130434782608,0.0,0.13629885046924756,0.04725897920604915,0.04585357579338047,0.21739130434782608,0.2170407766514968,0.23390841322976655,1.2634828190154912e-05,0.00032627856337994794,0.21739130434782608,0.2170407766514968,0.23390841322976655,1.2634828190154912e-05,0.00032627856337994794
25,0.32856310311835624,0.23122529644268774,0.0,0.21369104884363402,0.053465137715008826,0.08729504740579128,0.23122529644268774,0.230042923434883,0.2511432871851079,4.329646870020235e-05,0.00044340920163193936,0.23122529644268774,0.230042923434883,0.2511432871851079,4.329646870020235e-05,0.00044340920163193936
26,0.37803468380863614,0.2490118577075099,0.4588235941828551,0.5504099775519128,0.2069067385575786,0.1529709102967952,0.2490118577075099,0.24578205212807602,0.2699791716466625,6.001769394898189e-05,0.0004981806517191662,0.2490118577075099,0.24578205212807602,0.2699791716466625,6.001769394898189e-05,0.0004981806517191662
27,0.42750626449891604,0.2628458498023715,0.4588235941828551,0.5504099775519128,0.20129305008724105,0.14482321121940864,0.2628458498023715,0.26080581578499956,0.291993992712145,8.232677969633167e-05,0.0009500084653408959,0.2628458498023715,0.26080581578499956,0.291993992712145,8.232677969633167e-05,0.0009500084653408959
28,0.47697784518919617,0.28063241106719367,0.4588235941828551,0.5543811639401912,0.19463787153493808,0.13850395807355392,0.28063241106719367,0.281330283974394,0.3140388699279102,0.000126290379864596,0.001236050730063191,0.28063241106719367,0.281330283974394,0.3140388699279102,0.000126290379864596,0.001236050730063191
29,0.5264494258794761,0.2964426877470356,0.4588235941828551,0.5999652217059053,0.18925333256969723,0.14591406739881424,0.2964426877470356,0.2966193542211709,0.33471611691452996,0.00012537390196238615,0.0015962401085415048,0.2964426877470356,0.2966193542211709,0.33471611691452996,0.00012537390196238615,0.0015962401085415048
30,0.575921006569756,0.3241106719367589,0.6985699393221172,0.6790772326078013,0.2497604920705625,0.21203881955111265,0.3241106719367589,0.32614780912997593,0.36388336739227045,0.00024148700448655623,0.001781629954170506,0.3241106719367589,0.32614780912997593,0.36388336739227045,0.00024148700448655623,0.001781629954170506
31,0.6253925872600361,0.3458498023715415,0.6985699393221172,0.6790790629509145,0.23395224415021612,0.19707811610552475,0.3458498023715415,0.3488622261574471,0.3861783209468438,0.0002427583126254853,0.001867545700927229,0.3458498023715415,0.3488622261574471,0.3861783209468438,0.0002427583126254853,0.001867545700927229
32,0.674864167950316,0.38735177865612647,0.6985699393221172,0.6906293765461863,0.20639749266810564,0.18395768206504098,0.38735177865612647,0.38905044831386515,0.41943061150078603,0.00029982383299263473,0.0012432290160036877,0.38735177865612647,0.38905044831386515,0.41943061150078603,0.00029982383299263473,0.0012432290160036877
33,0.7243357486405959,0.424901185770751,0.6985699393221172,0.6906293765461863,0.18443533581014163,0.16259185205586232,0.424901185770751,0.41487021635956706,0.4435219734669206,0.0005391083342337267,0.0006310616501473852,0.424901185770751,0.41487021635956706,0.4435219734669206,0.0005391083342337267,0.0006310616501473852
34,0.773807329330876,0.45454545454545453,0.6985699393221172,0.6906293765461863,0.16908869831029888,0.14771599891032378,0.45454545454545453,0.45428982066456153,0.47688604316902544,0.0003862059560195065,0.0007054640019414144,0.45454545454545453,0.45428982066456153,0.47688604316902544,0.0003862059560195065,0.0007054640019414144
35,0.8232789100211559,0.48616600790513836,0.7406615135900406,0.7550740678289398,0.1801953362569396,0.15848221343610347,0.48616600790513836,0.4916940905622836,0.5049119418929499,0.0003286165816108232,0.0005563469963593322,0.48616600790513836,0.4916940905622836,0.5049119418929499,0.0003286165816108232,0.0005563469963593322
36,0.8727504907114358,0.5059288537549407,0.9228641953447031,0.9349944919529081,0.21446704223095034,0.19145641074538683,0.5059288537549407,0.5076184569822657,0.5198175109208792,0.0003575457664495178,0.0004637470679850474,0.5059288537549407,0.5076184569822657,0.5198175109208792,0.0003575457664495178,0.0004637470679850474
