,Standard_beran,True_proba,NN,NN_with_delta,Linear,Linear_with_delta,Linear_MAR,NN_MAR,Standard_Beran_delta_obs_only
67,0.0019671693184584293,0.0002729861043516983,0.003021132950086311,0.0027537232666367656,0.0006503534938648617,0.0009309370821952856,0.0029098168644531553,0.00018423772726061473,0.0023475547113988894
68,0.0027920994253957765,0.001357847903199745,0.0012693127508840772,0.0025584592436243,0.002139201168938282,0.003327353787016037,0.0002867042090009443,0.0012621279474118114,0.004007346671215046
69,0.003212289301487292,0.00028039592089785446,0.0003383631894337037,0.002846858326397963,0.002914955807049693,0.004056924492915403,0.0019712011638462457,0.000515171724990575,0.003462534026460986
70,0.003174946050613187,0.0006393296752343317,0.0015925302306863392,0.005246622623219089,0.005738578324034171,0.0062270704334412355,0.0007618966359985926,0.0007566549051556596,0.002702038072634047
71,0.0003188851304662738,0.0002383875828765723,0.0007053356526806568,0.0005923010506916872,0.0013345854414060295,0.0005028610021429469,0.002228284225442437,0.0005427859032191663,0.0008065088615886284
72,0.0058470573556603555,0.00083438993889644,0.002861874116844794,0.00656792046583471,0.0038782086429174785,0.0024227008627772805,0.0028410206163732837,0.00035918041416785,0.006571148715891331
73,0.002305695410993795,0.0004761686225520124,0.0005605223271820162,0.0014339227732695437,0.0018622762533339957,0.0017549971062659287,0.0027784268672489155,0.0007721659396683955,0.001594809248178728
74,0.00023556257654825007,0.0005695607612423225,0.0001755046043545973,0.00022598283457492572,0.0011807896153328888,0.0003277506136426141,0.002319804937840217,0.00031662255854803434,0.0002769460831018991
75,0.0006319721065196032,0.0004984264822357732,0.0014650394806698392,0.001090929094089867,0.004436009353025366,0.0014994777863044195,0.0020040094621630584,0.0005192961337278935,0.0013415469993970385
76,0.0009728388032054798,0.001283024875865351,0.0011193939297387322,0.000745418823302428,0.0017481538132050553,0.0008689178911008888,0.0011941585779407734,0.0009136746388853883,0.001402285116727122
77,0.004267417590189599,0.0007104925541780797,0.000727146512868344,0.002709912090912702,0.0004374890829713086,0.0022057409813892115,0.0004648080436262662,0.0001463843095084404,0.003854783028806222
78,0.009170477423194833,0.0002316291314765873,0.0005097057454354731,0.017842911864718806,0.0030477333031017025,0.00723365727993805,0.0005759407870412411,0.0003832794809145315,0.02965982544526704
79,0.0009527680200164264,0.00019599903411908918,0.00036136519968350865,0.0008106106190973095,0.0012297304013039283,0.0008214987845613152,0.0009464321968528898,0.0004328284075413601,0.0010074666966355132
80,0.0009873943033957301,0.00030442764862090933,0.0014210774908797058,0.0010051495570803023,0.00036890796865062995,0.0007600398371594029,0.002197554856053719,0.0005838821203806657,0.0025882740598024744
81,0.0029592287543634835,0.0004524661563346576,0.0019988326744196003,0.004788701911219412,0.004467412614231259,0.0022030142629349404,0.00028205387402179465,0.0003001644333450391,0.004858130820872688
82,0.011318725214789578,0.0012527696772767713,0.0015546056709516132,0.012551573818088664,0.0055849683078638005,0.004587215711149939,0.002703102324604598,0.0010637980982685228,0.008443368176909659
83,0.001014921002527101,0.0013243279863885376,0.0014045866073437055,0.0013953705666615642,0.0007861039253162013,0.0011807145256054648,0.0020691698369420387,0.0012612747106309132,0.0018993435194363953
84,0.00025573518850180606,0.0005742419526535375,0.0006201295295515168,0.0002514554613466019,0.0027480306298125587,0.0004666625520019676,0.0010196692532579714,0.0007010743388143611,0.00038419652700432625
85,0.015122038452130789,0.0004826403050924501,0.0020117157049744047,0.011888564578594434,0.0017668117555357321,0.004039904561956205,0.0005920356582381756,0.0004148664015234886,0.012470131645115758
86,0.007058902168354771,0.00020033645965205566,0.00035854187725169195,0.00626705353526205,0.00522218050357635,0.002215677138701024,0.0007597767644714395,0.0001773740414857012,0.008737749073959241
87,0.00012289020589668838,9.736505613424038e-05,0.0001365032277540763,0.0001425694671240052,0.00021299354600883978,0.0001349079201829654,0.0013227072172694349,0.00022945150543505067,0.0002380315146312519
88,0.004328519519159197,0.0006104944240684831,0.000675067587465359,0.006459650368164031,0.001146537224222654,0.006283282456332884,0.0014403908140624016,0.0004429714295365427,0.009354793546506222
89,0.0017302415742354168,0.00023005649906138986,0.0003031651756132161,0.002234698357090078,0.005733339240036413,0.001568257717564936,0.000311628833728918,0.0002877446998407726,0.002654536831535774
90,0.00013911754276687869,0.0010385280424590197,0.0010319309608136265,0.00048648984645199844,0.0015672301600995826,0.0002692426972282307,0.0031374313274644236,0.0012021390916870341,0.0006549940587499382
91,0.019730068874131028,0.00021879581778637557,0.0008404697228980623,0.016296463344249914,0.000638018865993069,0.016302630656740646,0.00409489500310494,0.00025282610026103157,0.019851332845229466
92,0.021195201288229736,0.0008624065352463141,0.0016789732019903633,0.030861602768913622,0.0010569799030382466,0.01979940550749987,0.0009645489633666456,0.0006859774455170361,0.03886733146882801
