,Standard_beran,Standard_beran_test_mode,True_proba,True_proba_test_mode,Prior_proba,Prior_proba_test_mode,LogisticRegression,LogisticRegression_test_mode,NN_BCE,NN_BCE_test_mode
55,9.758100602756674e-05,1.6446002510427638e-05,4.3331564885457796e-05,1.2363731534168832e-05,4.451793058390702e-05,9.704775944995981e-06,8.335754954697707e-05,3.192585591024871e-05,8.812738558207945e-05,3.5361292473161645e-05
56,2.5866171500022984e-05,8.316948605918395e-05,5.255694101249649e-05,5.333292456050395e-05,2.91885558714138e-05,7.91060821105484e-05,3.87406083692316e-05,7.056536155304907e-05,3.9497072365966035e-05,6.860964389446342e-05
57,0.00024547510294732947,5.8073737123431464e-05,0.0001277066957664674,3.4786393114838596e-05,0.00014329177147847177,4.234983231127453e-05,0.00014028352981642974,4.011937856481706e-05,0.00013937877446014576,3.981045897860598e-05
58,6.125343570421791e-05,8.932896371233912e-05,4.369547861928856e-05,6.865757973678943e-05,5.6023247664104464e-05,6.703917526909957e-05,5.508753263191865e-05,7.246266548975155e-05,5.528931762092887e-05,7.371020357477025e-05
59,7.924967618008912e-05,4.7559959865833934e-05,1.57549928062119e-05,3.10780151990998e-05,1.3092365519659695e-05,2.9830845201166546e-05,1.675072382466324e-05,3.233721521406952e-05,1.7888449419344098e-05,3.3509322254054856e-05
60,4.611507547470343e-05,2.5096505723555923e-05,2.2982003303428014e-05,4.465128929973e-05,2.6315001384366212e-05,4.6697046652363e-05,4.741171268169326e-05,3.208905394307545e-05,4.7705305635182485e-05,3.260791074593991e-05
61,5.286529123656384e-05,3.5079024740785207e-05,6.617732690265848e-05,3.150590462561659e-05,5.187676426180836e-05,2.404658345064087e-05,4.094134148020398e-05,2.909777355879781e-05,4.1971431160540995e-05,2.859222030537779e-05
62,2.3187023789512623e-05,2.6379762644009433e-05,1.2434733457888737e-05,2.1227246808403635e-05,1.3010320883429365e-05,2.3921688635441056e-05,1.3741108033888013e-05,3.2235841248386475e-05,1.4133937405292988e-05,3.3101619081435794e-05
63,7.738896125938978e-05,3.396518676449844e-05,4.114514318428227e-05,2.3957736104859106e-05,3.860401411816771e-05,2.00841894310814e-05,4.927277799104209e-05,2.954309689497211e-05,5.482460614116916e-05,3.343941398366225e-05
64,0.00010333682579561212,4.397036581261296e-05,5.5688323699004544e-05,2.8634577613683592e-05,6.613976388364538e-05,2.596360498336268e-05,5.343274241472181e-05,2.855748683508884e-05,5.280959742101501e-05,2.9533632010955387e-05
65,2.1099216610838494e-05,3.7243575783623385e-05,1.3506628798947333e-05,3.979243131895918e-05,1.4438457062378686e-05,4.229254131534409e-05,1.971491477154441e-05,4.694656548239531e-05,2.102147542022047e-05,4.923808949014922e-05
66,3.611794029265457e-05,3.3561064757193876e-05,2.1064355059756356e-05,4.3758755910067244e-05,3.044210318325228e-05,3.593599664925589e-05,2.4447721557318996e-05,4.81434562493247e-05,2.5442276732242632e-05,5.134990842255218e-05
67,2.8853999643367804e-05,7.346957440240629e-05,1.6268728754211667e-05,7.409333917974866e-05,2.263198980288681e-05,6.023162081834651e-05,2.5126263390526125e-05,6.647103120248739e-05,2.5164382743739126e-05,6.856538625808759e-05
68,6.1004081356555384e-05,6.377014081169093e-05,2.5705175149523227e-05,3.260209915789741e-05,3.8988597134859964e-05,3.5221267347624725e-05,5.319289516978463e-05,2.589861039701525e-05,5.0570323183311945e-05,2.4363367336359088e-05
69,3.0723195141784246e-05,7.539520054439857e-05,2.3117882174930097e-05,4.396080276711409e-05,2.4922209243285807e-05,6.067937998069966e-05,2.6045447748067168e-05,5.8988260539524036e-05,2.1879905669889048e-05,5.334570717399878e-05
70,2.2021534177329413e-05,2.4644651932657798e-05,1.589030229224809e-05,1.7881039838614443e-05,1.3655935092266116e-05,1.6683935594797012e-05,3.488518898116945e-05,3.706702564385361e-05,3.5587458148674987e-05,3.83299604099657e-05
71,0.00010744574491150199,3.529145531296852e-05,6.0681624528001685e-05,3.594950809263242e-05,6.647460412956768e-05,3.78296798755368e-05,7.50599636731672e-05,3.979068532139553e-05,6.792139071561381e-05,3.654028754469222e-05
72,5.90093494603719e-05,5.577256256983868e-05,2.785528337532379e-05,4.438280509995555e-05,2.9360986153378975e-05,4.889183311786722e-05,3.9386047093020976e-05,5.34297584555045e-05,3.976385597365158e-05,5.158536483713466e-05
73,2.6085729931554434e-05,3.396044434767225e-05,1.643333249004959e-05,4.153417794172645e-05,1.3735596501995972e-05,4.499548952793156e-05,2.021103703779812e-05,4.6089478057227036e-05,2.035223394909915e-05,4.812437635291462e-05
74,3.4881377663222195e-05,0.00013736808194571144,3.4784135440844545e-05,0.00010308925470810402,4.1143345377238896e-05,9.689425266116811e-05,3.650420326031703e-05,0.00011306099950372929,3.9404128877326594e-05,0.0001131935438641694
75,2.2341583599596453e-05,2.1997504970334383e-05,3.9536967748748625e-05,1.1159380868375452e-05,3.037908758713813e-05,1.53602847042717e-05,3.187245634905869e-05,1.378385301756935e-05,3.1300858916160006e-05,1.3954572716179439e-05
76,0.00011726951698308926,2.407586450043957e-05,4.5641619225833314e-05,3.673977260733382e-05,3.653884899913259e-05,3.8334580608760684e-05,4.489917223041231e-05,5.0286208576163874e-05,4.4883848993094465e-05,5.1631328068131615e-05
77,9.326100595562942e-05,3.517210473466488e-05,7.95469938277665e-05,6.214715141715048e-05,6.796358509823931e-05,5.636532740250223e-05,6.709790744361366e-05,6.208489019074967e-05,6.676085932982734e-05,6.25801938626356e-05
78,4.0087907911964466e-05,5.8183405570710007e-05,3.2902167818532905e-05,4.626959124213619e-05,2.8044813584591778e-05,3.637555826582083e-05,4.653462416964301e-05,5.545875521259083e-05,5.020267544284124e-05,6.006550385434095e-05
79,3.9465844322522334e-05,0.00012011432164485883,1.363028392035209e-05,8.558977179147292e-05,1.972303048508666e-05,8.9352319485968e-05,2.3817383175283247e-05,7.170853633027788e-05,2.651353784359009e-05,6.962543845172097e-05
80,2.6203524762049654e-05,5.317953685244161e-05,2.845676486610827e-05,3.259114772491315e-05,2.944411609530178e-05,3.308334049193263e-05,2.367287997772785e-05,4.732006943913175e-05,2.349721427878363e-05,4.8861867204557044e-05
81,4.9166228329164444e-05,5.569123666090763e-05,3.441519224779602e-05,8.610553767382067e-05,4.634048151743366e-05,8.205059259753149e-05,4.402506298025734e-05,9.229430576148485e-05,4.435806659969826e-05,9.297575054387558e-05
82,0.00011151996790966072,4.2514293543945566e-05,9.492377980368286e-05,6.456780336694389e-05,0.00010673251426054189,6.638081347992226e-05,0.00012119805231806785,7.222902878467813e-05,0.00013465184390599788,7.429100684348068e-05
83,0.00010304698227951396,0.00010472790239192418,5.6665150081125825e-05,7.553918211382403e-05,5.453909356599587e-05,8.180628261445264e-05,4.601071068243489e-05,7.589227298370511e-05,4.848358218667215e-05,7.220352168078767e-05
84,4.838829581708933e-05,5.2756688719967485e-05,3.4727458679003004e-05,3.141471463395946e-05,3.431159379653171e-05,2.3928229708737158e-05,4.2850378992238625e-05,5.4568095423284634e-05,4.346403391161993e-05,5.42516456274205e-05
85,5.272054183843149e-05,6.050023047308333e-05,3.887074823405471e-05,5.53817543124514e-05,3.4099708992218484e-05,5.95945513604509e-05,4.203846902022134e-05,5.9181799006240004e-05,4.866558576122717e-05,5.499135677187393e-05
86,6.879559508741233e-05,8.244926277815465e-05,7.180619062339097e-05,5.136745828031657e-05,6.099127647228514e-05,6.47456898140819e-05,6.424660153992446e-05,6.882697422054332e-05,6.53880207888755e-05,6.927434143669944e-05
87,3.617115161279453e-05,5.570149215576646e-05,3.2012073230782384e-05,3.745990738278927e-05,4.124841045631457e-05,4.125213673717117e-05,4.8142049294364015e-05,5.1370200094467496e-05,4.6340711985251104e-05,5.190876615591111e-05
88,7.894393443495672e-05,3.0934080736981884e-05,2.4407001261718915e-05,2.22281794183337e-05,1.6726320440426362e-05,2.9661303745064795e-05,1.4408653458439672e-05,3.0101599378204243e-05,1.4382888329226958e-05,2.9372861938886103e-05
89,3.698964192844277e-05,4.681958211322935e-05,2.2632242620892018e-05,2.3251709126723533e-05,2.94201189978474e-05,1.846243319355304e-05,3.2365548000942915e-05,2.4422733542372224e-05,3.46524339479725e-05,2.5658596535406322e-05
90,2.6769749707585774e-05,0.00015354428865992556,0.0002461752597687705,2.2101092534713142e-05,0.00025015522605890104,5.6340275260088776e-05,0.0002291387733855499,3.3128242837126816e-05,0.00022627200460440723,3.447103423610889e-05
91,8.252593829899041e-05,8.860441532728319e-05,9.67334732277392e-05,5.759816660090553e-05,0.00010656222671783643,6.305044645501475e-05,0.00012685977631406162,5.1694679795236775e-05,0.00012422759369857565,5.2242852324745327e-05
92,7.806075625652491e-05,0.00012723587978351658,7.688515237180152e-05,9.151311491086304e-05,7.722802375355564e-05,0.00010172402776628293,8.108293419543698e-05,9.701761055128853e-05,7.87255972811991e-05,0.00010375027106086523
93,7.626252043517387e-05,3.286127595606203e-05,6.70585376958029e-05,2.2745478536184823e-05,5.7220423735220134e-05,2.2792431455740467e-05,5.907312059886725e-05,1.8633740715577588e-05,6.283806573428748e-05,1.6994558917879803e-05
94,2.658534792754556e-05,7.042295175346842e-05,3.0628754705582824e-05,9.027339164494711e-05,2.319882832474319e-05,9.20041427241878e-05,3.690037778597421e-05,7.78703012343721e-05,3.989823301237218e-05,7.527195588616667e-05
95,0.00017277348891227913,8.387236377750112e-05,0.00014509886703175683,7.688024904996564e-05,0.00013718422926574687,8.09235756117182e-05,0.0001353506664423726,0.00011055571874934905,0.00013597242862328966,0.00011228456384622348
96,5.354623995456449e-05,2.522028471908619e-05,2.8815391957283156e-05,4.5855290503561406e-05,3.1686301678820394e-05,4.1886751109941745e-05,3.238651782778636e-05,4.807614499271277e-05,3.2038948549452e-05,4.7624252757358395e-05
