,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
27,0.3939049548022594,0.08730103198521799,0.07304664007761692,0.00041915584576482384,0.06614410508799051,0.0004668572063859791,0.11341448892565487,0.0008971430013717849,0.10785860089380601,0.0008886015658234802,0.04963454246589623,0.05913013092546252,0.00015338388059417887,0.05180557029338495,3.276901372913671e-05,0.0874957372996148,0.0015271911248664835,0.08407272838345321,0.001326929000041964,0.02546277768824436,0.04021216128846509,0.0002419616909683666,0.034752617837784605,9.631384432547504e-05,0.057694583407007095,0.001042687507546173,0.05770545400675279,0.0010568536852862181
28,0.41615547567288647,0.09967675303081419,0.08481250518073509,0.00035809556505005607,0.08208877988476353,0.0004468328440168218,0.13580287413709677,0.0015553688785982503,0.12440450366213496,0.0009572745616225981,0.057716095773104666,0.0646123816037738,9.855222131889968e-05,0.06069580166177054,0.00011075433588910149,0.0991277177912266,0.0018448228394557613,0.09217085080748282,0.001298307617387423,0.030194813318629058,0.0425825164113095,0.00018016322805040807,0.04035179019733411,0.00014878500595467614,0.06489057724840082,0.0012047116127329742,0.061349656395096784,0.00098324097027857
29,0.43840599654351364,0.11328778116415172,0.0979685469046343,0.00044768163443646545,0.09337724654617012,0.0005543289496614312,0.15138314841111758,0.0019265188956421424,0.13866043402897496,0.001025087276445484,0.06679804997949482,0.07332875209429979,6.526243545670223e-05,0.06996467104973088,0.00011234301755823647,0.1119736325146774,0.0021058665437452503,0.10206822298908169,0.0012776088006341154,0.03563370514674089,0.046096627950340675,0.0001592178497475955,0.0458774418735407,0.00014807115290452934,0.07204644216656741,0.0013566591152712165,0.0671845724750461,0.001039009390071732
30,0.4606565174141407,0.1281753373353245,0.11210819403757062,0.000565508388330943,0.10488208351924422,0.0007340209949965513,0.16957381360915133,0.0023003588755085556,0.1565259485544135,0.0014355401897309626,0.07694827884356448,0.08523238853576409,0.00011326988077287903,0.07978525391754483,0.00014865934199732278,0.1274295991548506,0.0026935212058397107,0.11935047389562185,0.0018549637338928545,0.041850762840533774,0.06000067963439019,0.0003353357389186994,0.05567418256280876,0.0002619061803461488,0.08947871090007091,0.002308274066547893,0.08749464485250236,0.002118337441186252
31,0.4829070382847679,0.1443698527041038,0.12535913441441418,0.0006325194014441585,0.11545459979695676,0.001058202522356647,0.1856332767218598,0.002338993178565363,0.1736583431997122,0.0015327194951618812,0.08823023539513447,0.0947718660744837,6.698528122300156e-05,0.0884533747726201,0.00016689762028448594,0.1413351631033024,0.0031231600272237964,0.13434698665237596,0.0021621464857870085,0.04891835425892799,0.07174238583080757,0.0005957288769112873,0.06655415067688379,0.0003509954848064275,0.10509956850445538,0.0031933330557037537,0.10281207384711555,0.002963841036897588
32,0.505157559155395,0.161889467794938,0.13528482855705637,0.0010476124529886638,0.12884084491055048,0.0013055992330352005,0.20548663961215383,0.00271584575556849,0.18759005086457195,0.0012944545833754278,0.10070134431639,0.1063360776587056,5.114900915455369e-05,0.10000051529840985,0.00015576132171557088,0.15907130083103324,0.0037184929511581964,0.1493853366205302,0.0023804429812584035,0.05690878208155174,0.08445373520909509,0.0007921390482509746,0.07615208744892905,0.00043717687064865994,0.1170794554537965,0.0036868502237176713,0.11816045303461294,0.003827691540243291
33,0.527408080026022,0.1807386809809331,0.15393060169225548,0.001295038608803583,0.1530297256210497,0.001220913434371017,0.2413282601960872,0.005462472524937783,0.21293653063812232,0.002463470274987442,0.11441135468153163,0.11580098802577916,6.386655973478705e-05,0.11276436341930207,0.00024411339058638627,0.17477368387391334,0.00432357717591373,0.16269702042961798,0.002433242758754615,0.06589300857705499,0.09089447525409207,0.0006368942618249046,0.0845079390195818,0.000427597740164732,0.12550502214117165,0.003578340306074491,0.1263994397343765,0.003697094136127443
34,0.5496586008966492,0.20090719744225544,0.18761269893843038,0.00046323333666173334,0.17809535905364313,0.0006628025513600672,0.2854840853239804,0.007733478878219541,0.24211612999540602,0.0024495450317587393,0.1294006962214646,0.13244061896944737,3.498320929126392e-05,0.1286944008022456,0.0001392235667758122,0.19929609350575186,0.005452412243220872,0.1770582892967575,0.002329693054377062,0.07593924541811674,0.09840568724421477,0.0005393936516332985,0.09411290477221305,0.00036668104963209145,0.1384355618611288,0.004002904027177169,0.13200689854271644,0.003196462709599455
35,0.5719091217672763,0.22236902707811212,0.19888986926322846,0.0008847698487395333,0.19513350735551982,0.0010821462632530552,0.3012630138911331,0.006991164562563955,0.26057102468113347,0.0024039995987738694,0.14569888669512765,0.14245622179704878,6.381359377063556e-05,0.13927372998326407,0.00024280714834429545,0.21263556528889374,0.005103643482221882,0.1921406763574093,0.0022995232659714206,0.08711143236058977,0.10620125333132176,0.0003848642496676604,0.10496145552794411,0.00047522998740683335,0.1516777621607558,0.004279134318079212,0.14259671136985685,0.003080131373844682
36,0.5941596426379034,0.24508187505057688,0.21967148703277864,0.0009951139311782666,0.21959486837888062,0.0009477969623497726,0.3342132967885309,0.008676869494674456,0.2884778479466212,0.0028288152249914098,0.1633230409045489,0.16059658880105332,2.8807402665943148e-05,0.15809732610552554,0.00017683710961022202,0.23881387762831605,0.006341882260127754,0.21561457058757952,0.00290618937056045,0.09946763542416609,0.12121924923417982,0.000612376520678848,0.11502434940271393,0.0003584331142408434,0.1649654767968012,0.004623265659412503,0.1625917362736773,0.00403929065980781
