,Standard_beran,True_proba,LogisticRegression,NN_BCE
76,2.947219127729797e-05,1.0470493184606404e-05,8.478329604639273e-06,8.548621062090689e-06
77,9.81350249692664e-05,7.678814865821802e-05,9.147173588690212e-05,9.82763122367765e-05
78,0.00010082083312709546,0.00012797814887947854,0.00011497314305224455,0.00011691515887231792
79,0.00010255714735992662,8.837516205397234e-05,7.78118398487435e-05,7.878797627363195e-05
80,4.425288192229208e-05,7.23575157716989e-05,5.434633453322662e-05,5.3725069028335976e-05
81,6.427596787044583e-05,0.00010204412348495069,6.492407180643064e-05,6.593599240307784e-05
82,3.047976009564619e-05,3.270438506379017e-05,3.15218738347922e-05,2.687968982523499e-05
83,5.2457315822588374e-05,8.127074315876153e-05,7.08316749987834e-05,7.248062382799025e-05
84,9.018850034381247e-05,0.00016272223080968928,0.00020050641538247604,0.00019927030793122276
85,3.440009518334836e-05,2.661827463529677e-05,2.3518695687838724e-05,1.961449426457292e-05
86,3.644621599105267e-05,6.390521149608974e-05,4.455842656424991e-05,4.421427876179439e-05
87,0.000160414848992386,7.243051574147135e-05,7.9288100443785e-05,7.9423449122249e-05
88,5.3466200829709714e-05,3.3525172874456065e-05,4.158778439640611e-05,4.230643532188499e-05
89,5.911788448043842e-05,4.435095894662537e-05,5.287985621024234e-05,5.289033776308906e-05
90,3.0174634308719888e-05,2.5486215915847616e-05,2.6099118703787002e-05,2.7122127325548832e-05
91,3.496823477019756e-05,2.3988037241117374e-05,2.443250406684623e-05,3.1772145239347154e-05
92,6.679544308457646e-05,4.5179681314104616e-05,6.127660522415985e-05,6.30505002237091e-05
93,9.65504943468357e-05,7.169428296308606e-05,9.385513501674133e-05,9.630215625828231e-05
94,1.999189752715929e-05,1.5711327607613888e-05,1.871287471896485e-05,1.9358464632819724e-05
95,6.624667365844537e-05,2.8751340362218522e-05,4.982516192305964e-05,5.0483869339399205e-05
96,0.0001535747679255782,0.0001359553710940086,0.00018199570800919113,0.00017825220622406297
97,3.281601666517131e-05,2.4459709551023332e-05,2.084139951252252e-05,2.1924883957885543e-05
98,8.062346232275495e-05,4.199811048248229e-05,3.8117436444582834e-05,3.814178650482611e-05
99,2.608604691683018e-05,1.4786738152844203e-05,1.181363573607864e-05,1.1898700975286685e-05
