,Standard_beran,True_proba,Prior_proba,LogisticRegression,NN_BCE
42,9.592734371435932e-05,4.107588527333364e-05,4.405487609601126e-05,6.0768473868220994e-05,5.8629929879612184e-05
43,9.31138422531692e-05,5.261443169535491e-05,6.147324698156056e-05,5.077615715160742e-05,5.5324580336069396e-05
44,8.931120619784622e-05,4.93604277815893e-05,4.325508928621361e-05,0.00011669808549282389,0.0001219606098122427
45,6.680295050229901e-05,8.04381872621207e-05,7.283836132656079e-05,7.071159130969772e-05,7.714592246480412e-05
46,0.00041768342083067263,0.00023834916200289732,0.00026425680576384615,0.0002303890447174188,0.0002318348747330919
47,4.6674896423863525e-05,0.00015237977230731086,0.00017033731668655416,0.00012960511221327738,0.00012754345680380304
48,5.151982784272865e-05,6.318527601979292e-05,4.8684093710452304e-05,5.074434479166549e-05,5.745511769683366e-05
49,6.306968256649228e-05,8.687331249856088e-05,5.87586376595851e-05,0.00010286256184441323,9.883911209709332e-05
50,0.000124069202054194,0.00011262530060321364,0.00011095361930868189,0.0001240921008154035,0.00012465437936427283
51,6.249626267200744e-05,5.5074552440448254e-05,4.602583248640296e-05,4.820978738549504e-05,4.8491035067574685e-05
52,0.00023632393177678467,8.738139990746421e-05,0.00011241740405625707,8.258419341208398e-05,7.984413568355282e-05
53,0.000343890022737325,0.00022453709488952722,0.00020827780400317373,0.000253992073269627,0.00027499314574045867
54,0.00010332936893033768,5.2846615681117574e-05,5.426383964901718e-05,8.554583065972949e-05,8.577827199122935e-05
55,0.00013590870376988288,0.00014017316192819243,0.00014298967469549326,0.00012129553475862182,0.00012908002872360192
56,3.8331285390488507e-05,4.059092833636607e-05,4.635713801324538e-05,3.591840893772406e-05,3.463644583791243e-05
57,0.00021116802381693564,0.00014533074581420607,0.00013615866067661665,0.00021474921283531358,0.000223528015741412
58,0.00021865962313922835,0.00034070024695664864,0.00011751616046631525,0.0003758238888379712,0.00037560657323408667
59,8.718344211080824e-05,8.799152853008654e-05,8.924227726192296e-05,7.10557517115162e-05,6.855481849262086e-05
60,5.0214993961429504e-05,0.0008725313759812568,0.0009690018307156684,0.0009076146041090292,0.0009044695186595366
61,7.896600061697688e-05,0.000112830571732198,0.00010343098453721868,0.00011923682460842945,0.00012119439493599416
62,9.441438722660287e-05,0.00011337937211201338,9.673448139741309e-05,8.310599683104552e-05,8.593239714606124e-05
63,0.00019327861439484553,7.104798996277237e-05,7.212019143123971e-05,9.22047588211865e-05,9.369584778179426e-05
64,0.00022305522460726247,0.0001304533054087547,0.00014608921072419394,0.00012883472341436206,0.00012817617690059254
65,0.0003045619792229424,0.00023848139468062515,0.0002467633518957357,0.00021810320289589928,0.000223584205987345
66,0.00016567779139996095,0.00011098502686051716,0.00013457702323947958,0.00015762268422314567,0.0001592265516759797
67,0.00012131422854996061,9.703963535097978e-05,0.00010531819451641449,9.574587843972985e-05,9.54854308209475e-05
68,8.391675652878107e-05,7.18871821416597e-05,7.609437779817106e-05,8.397318523855565e-05,7.973071770520978e-05
69,6.987773645238148e-05,2.8666081223428455e-05,3.099751484745102e-05,3.338820375701116e-05,3.428578784579311e-05
70,0.00011645684631522235,0.00011543176241780986,9.874051460138182e-05,0.00010481584629313494,0.00010257651059413897
71,0.00019207495507020825,7.55768818059928e-05,8.644043310096017e-05,0.00010456737913683983,0.00010867443343782053
72,0.00034118325094543354,0.00022217590062266774,0.000293862082578685,0.0002841625101541627,0.0003021619142969561
73,4.622484548437783e-05,4.419875370444248e-05,3.979815368910161e-05,5.564622137600486e-05,5.722477889952105e-05
74,8.450087102172273e-05,0.00012258102671746396,0.00010364839931239858,9.168515440378326e-05,8.852029414689198e-05
