,Standard_beran,True_proba,LogisticRegression,NN_BCE,RandomForest,KNN
191,0.00021579460484077726,8.83294342857087e-05,0.00014383927747306472,0.0001464670824167234,0.00020443350018584436,0.00019887483559210357
192,4.591332246394936e-05,2.9973338522407378e-05,3.509955839830491e-05,3.49913318511624e-05,4.407374617505939e-05,3.8424849167438924e-05
193,4.203560665356206e-05,4.649755139369966e-05,4.544634430928979e-05,4.4197728068363265e-05,4.252981069167511e-05,3.8414991460547805e-05
194,1.5047387277728456e-05,1.4521064184572022e-05,1.574828790970747e-05,1.440077936211997e-05,1.5014072327689626e-05,1.6743714110666717e-05
195,7.454687238357489e-05,3.252869077132114e-05,4.4862386398661967e-05,4.474098258993465e-05,5.5411312999965405e-05,0.00013860441631767658
196,2.21491263008088e-05,1.872607737144842e-05,2.100868631608191e-05,2.0372777594394335e-05,2.0626252596790427e-05,4.1539914631404194e-05
197,5.413463530799007e-05,3.678348044380728e-05,4.2396083517588094e-05,4.304022880177788e-05,3.741314668888969e-05,3.517184817796852e-05
198,2.012570671101818e-05,4.649941487619884e-05,2.0620179556545728e-05,2.0779960545737546e-05,2.047745506484738e-05,5.211870916493734e-05
199,2.2092506274556493e-05,1.370041059141068e-05,8.783761965958803e-06,8.345605044957084e-06,1.9949147344512342e-05,1.965840275062639e-05
200,0.00013758457063243305,0.00011698232069366951,0.00010411026003118021,0.00010596347535712519,0.00013328478314672586,0.0001478434707237784
