,Standard_beran,True_proba,NN_BCE,NN_MSEloss,DecisionTree,KNN,LogisticRegression
57,1.8096663290926308e-05,2.32358835419678e-05,2.4297196406870366e-05,1.7350802787444144e-05,2.109246440718055e-05,2.594393903411277e-05,1.2064165816204482e-05
58,7.319119337130992e-05,9.372153939695559e-05,0.00011583173447267349,0.00011234698755878137,0.0001448793748859859,0.0001680894947787307,8.414615052462761e-05
59,3.243363841440389e-05,2.1476730231218906e-05,3.116866406938935e-05,2.9583323927406536e-05,3.285421917541446e-05,2.762762087830511e-05,1.831403364286847e-05
60,1.9478759553148705e-05,1.628281350279122e-05,2.1207639340854755e-05,2.2617755711427657e-05,3.3820417913104016e-05,2.0779001453612938e-05,1.7951233373626892e-05
61,2.0448499342218814e-05,1.660777266619465e-05,1.3114831700318782e-05,1.2834393127780383e-05,1.554765175673948e-05,2.868307857581356e-05,1.434981696972766e-05
62,0.00014156713309200353,9.919437661007344e-05,0.0001475734686433977,0.00015187974229265622,0.00022984319811036066,0.00014992979989891366,0.0001065026024134542
63,7.254416510996745e-05,4.4554472250998656e-05,6.908527869845982e-05,6.668942063406837e-05,7.146150722063431e-05,7.52509837564051e-05,5.637033963955457e-05
64,7.987824289500918e-05,5.08672903634352e-05,9.145778291678894e-05,8.580288553968321e-05,9.800299046477655e-05,0.00010557047131648831,6.30912410852957e-05
65,8.979143059423034e-05,5.066187965559306e-05,4.556728891336195e-05,2.840167834872608e-05,6.81984280368958e-05,7.217538846630946e-05,4.5494194858119334e-05
66,4.394294064958411e-05,4.617924576274548e-05,4.0735178717555344e-05,3.9115290359979266e-05,4.1369262439213024e-05,3.959486855363509e-05,4.204618167362288e-05
67,4.9754760750851235e-05,3.57403264977869e-05,4.6044712330359135e-05,4.734675510708651e-05,7.149417965129015e-05,5.2102154711446965e-05,4.9847497628080065e-05
68,3.97506038260014e-05,3.520367526480596e-05,4.235346404436502e-05,4.4593903949544176e-05,3.5433601515908085e-05,3.698143348736015e-05,3.958426744954565e-05
69,0.00010230747521972846,2.8375195381461747e-05,2.6420059698085174e-05,2.7975414706023756e-05,0.00010056995076962043,9.699502601832599e-05,2.930275910377379e-05
70,5.848995818006164e-05,4.44990630873489e-05,5.6609397431430464e-05,5.8801175634610874e-05,5.961978185050522e-05,6.944747890689677e-05,7.553634021254735e-05
71,2.7495425890828375e-05,4.0655892292227495e-05,3.74705693606601e-05,3.797526800188316e-05,3.067607335158887e-05,2.601943875085356e-05,3.9912624221482745e-05
72,2.9616189504196815e-05,1.3139953507715597e-05,2.323395805611731e-05,2.333047832171805e-05,2.875881713025876e-05,2.417085020874554e-05,3.277084746047275e-05
73,4.4447990778942996e-05,2.6210135883566987e-05,4.186294303374266e-05,4.675150961793096e-05,4.26173753015567e-05,4.755690664597984e-05,3.739650592187534e-05
74,4.867318391200233e-05,2.7828239505655107e-05,4.222868723844607e-05,4.04717279673412e-05,3.860313368306003e-05,4.183017876636083e-05,3.92962585768785e-05
75,2.9977749998419822e-05,2.5226202941299706e-05,2.198946474240996e-05,2.3213563881672952e-05,2.420837288080952e-05,5.074339988736893e-05,3.2420608378241466e-05
76,7.349339122055145e-05,4.500993758492919e-05,5.870132437559377e-05,4.9840908829849916e-05,3.3923130793533556e-05,8.266057351445853e-06,4.626104038719689e-05
77,9.946796471957427e-05,5.14344627281386e-05,4.737862303785332e-05,4.8432748196896874e-05,0.00010267546029334127,5.329316040627129e-05,5.175754500939993e-05
78,0.00010060314185924738,9.842914495563718e-05,0.00014492058727277903,0.00016590649238805365,0.00011156177684100839,0.000300931832906544,0.00011736186556690372
79,3.75530085761081e-05,2.9233167666232514e-05,3.209304269247798e-05,3.486319504378676e-05,3.9361895303370596e-05,3.973254641887949e-05,2.710318945247646e-05
80,7.280007055775512e-05,2.40155521444763e-05,6.145846247423131e-05,6.836055277841742e-05,6.697922568534194e-05,6.175754843374252e-05,5.32546558956234e-05
81,1.8866412722927183e-05,2.281676618508828e-05,1.7746346391476242e-05,1.684474257459038e-05,1.6526260257326355e-05,1.6947107512370137e-05,1.8055051225707482e-05
82,4.95748544555378e-05,2.647220270781791e-05,4.865207498032672e-05,4.273136401224943e-05,4.7305796503456746e-05,4.176423206880807e-05,4.89139625704936e-05
83,3.6736710547795646e-05,4.66252300795019e-05,3.241529854784687e-05,2.5729618240196227e-05,4.9996909306626097e-05,5.52908409528773e-05,4.9556074869548466e-05
84,3.246185114907485e-05,3.078889701165214e-05,2.867636295424075e-05,2.833380759704885e-05,3.757222905914555e-05,5.788347360208798e-05,3.5840886089998294e-05
85,2.2187496493458494e-05,2.347790257279424e-05,2.4268345466347727e-05,2.5738275661940225e-05,2.2568077238149255e-05,2.4644806737443097e-05,2.6144046431764445e-05
86,3.407230647319636e-05,2.0803955207033182e-05,3.307575895661304e-05,3.205021214999069e-05,3.670155052173548e-05,4.39992805067352e-05,3.3174361436735716e-05
87,0.00011873287807512918,6.978998047647375e-05,6.782823826787048e-05,5.799942442567435e-05,7.707523441965691e-05,7.648205461567229e-05,6.927898845615395e-05
88,7.13656101521716e-05,3.667057346421069e-05,4.396511569724516e-05,5.1806913667723034e-05,5.3522871677802916e-05,8.292025664576452e-05,5.6237009249512117e-05
89,5.40317678586659e-05,3.197637780366016e-05,3.918441379977212e-05,4.328616733051628e-05,5.984298881313183e-05,5.265246681988513e-05,4.2881054159732185e-05
90,4.708674281438988e-05,3.371771876571201e-05,4.2503834406922215e-05,4.54091598857201e-05,5.0262067134893796e-05,4.2275010422995635e-05,5.460230440889486e-05
91,5.741599822386999e-05,6.697713511332555e-05,6.640517477471193e-05,5.702743809464551e-05,4.3048039255361066e-05,6.848703639099373e-05,4.6843375314184616e-05
92,7.621192725675711e-05,3.578405561659826e-05,4.13000900983193e-05,6.160806767763651e-05,6.220701909182825e-05,8.153132438118876e-05,4.545686613108147e-05
93,4.078566790643595e-05,6.192051987983858e-05,6.684026193512943e-05,7.207927017510046e-05,4.479240393769848e-05,0.00015449870866986022,7.731643811415744e-05
94,3.3335862435546235e-05,4.059061577438342e-05,3.185065055381639e-05,3.44548825840186e-05,3.139359175015224e-05,3.4310182604490666e-05,3.20824538089916e-05
95,3.416133873782781e-05,2.3124053598855054e-05,2.7323758614588427e-05,2.8250196427004272e-05,3.438735893942236e-05,3.428540456409902e-05,2.684643957527681e-05
96,6.707348691819318e-05,4.3054136304407605e-05,6.883634951746539e-05,6.559011195418511e-05,5.838755538548022e-05,5.727800416925857e-05,4.8711122343471774e-05
97,5.046772166834884e-05,3.5802807944558784e-05,4.596317038231904e-05,4.3088470421478963e-05,4.99789581699508e-05,4.8825741861467854e-05,3.1681935026683565e-05
98,2.0007636775252295e-05,9.146530534397716e-06,1.282042276660938e-05,8.107667031628873e-06,1.9276988770063005e-05,1.7428983328575463e-05,1.3441308873283159e-05
99,2.3674506181748772e-05,6.975980828938826e-05,7.426445203049561e-05,2.1958182394819384e-05,2.282994086565438e-05,5.936517603185395e-05,5.322225706446946e-05
