,Standard_beran,True_proba,LogisticRegression,NN_BCE,NN_MSEloss,RandomForest,KNN
38,4.097561733367974e-05,2.888645700843056e-05,2.8505176882874205e-05,2.659668127287234e-05,2.623524629619505e-05,2.926092469729122e-05,4.212636079230608e-05
39,2.0533358634084203e-05,2.280820994124999e-05,2.1255801496500915e-05,2.140748998070475e-05,2.0202901179938267e-05,1.970197151211158e-05,2.778354667130509e-05
40,4.3773105064906945e-05,5.488535572960669e-05,5.061851493443709e-05,4.793376988750852e-05,3.849933429095222e-05,4.7901057004861105e-05,3.855034380439255e-05
41,5.51355939535243e-05,8.902557175824503e-05,9.303046777341855e-05,9.48818048562605e-05,9.327995847489861e-05,9.191335477912176e-05,0.0002624758389308354
42,2.9872989780614265e-05,1.8515735928037797e-05,1.8733383782400592e-05,2.032261201941839e-05,1.8966360937132078e-05,1.5686287359704745e-05,2.842508794636045e-05
43,0.00010022549285512153,2.4880008628316536e-05,4.2291360288961214e-05,4.0931918078855985e-05,4.217377005565963e-05,3.8614598312782924e-05,8.906083761285518e-05
44,5.699906663195515e-05,2.8740970586955885e-05,3.449252604797815e-05,3.0572119352482065e-05,3.2714309241055965e-05,3.0578902644939145e-05,5.7026983531397193e-05
45,1.893759362849221e-05,1.647084137623712e-05,1.6751376126170495e-05,9.683340550265336e-06,1.048792342925526e-05,7.98560175169133e-06,1.9107219543495087e-05
46,2.8830716158261966e-05,2.9708586649029767e-05,2.2700244252374416e-05,2.4684119684968726e-05,2.5623395885146705e-05,2.5822933527138578e-05,2.7921835112259906e-05
47,2.382048794240857e-05,1.3712344100142677e-05,1.4885524704608439e-05,1.9622730779973393e-05,2.143873737945567e-05,1.4811856631545076e-05,2.2406512133215236e-05
48,2.5123580497657782e-05,2.4009085580936035e-05,1.9364937434078107e-05,1.8624969958298674e-05,1.8844088044749904e-05,1.734444301845241e-05,1.9087006117224337e-05
49,4.069038241319214e-05,2.0316795940784863e-05,3.428348831989786e-05,3.238146143021556e-05,3.1665669293858693e-05,3.229958588234408e-05,4.6402012199120736e-05
50,8.984919651791578e-05,1.6078038335637034e-05,1.8434810053351172e-05,1.7455070469475204e-05,1.9815393791023803e-05,1.6807014824963597e-05,9.513184291981311e-05
51,3.687146575105303e-05,3.0986241679749175e-05,3.0138494720978666e-05,2.897468539995969e-05,2.7023223421438873e-05,2.224488954469241e-05,2.8921045917552102e-05
52,9.953295537314397e-05,4.2906095779557095e-05,5.1476638142865535e-05,5.282101407119812e-05,6.230757217486837e-05,5.726495736131279e-05,8.93348106865217e-05
53,5.3229951457892075e-05,2.7484525234406982e-05,6.548344527419772e-05,3.922594324564461e-05,3.565171048893409e-05,4.3760154609737354e-05,4.32947543049348e-05
54,2.1642779958594367e-05,1.7855140546897174e-05,2.1033013014597002e-05,1.8147709036030214e-05,1.7653344442100305e-05,1.8766959188676734e-05,2.463046130709429e-05
55,1.7761464362847855e-05,2.7269071925061246e-05,1.3928119540878094e-05,1.2521286264791325e-05,1.254923185444714e-05,1.3617753189372301e-05,1.550903021741305e-05
56,6.234406312553027e-05,5.1086642431506435e-05,5.828468721825081e-05,6.570130051248954e-05,6.568834570535112e-05,5.866660381416957e-05,6.292965651671086e-05
57,6.196068633022702e-05,6.159170036021261e-05,7.399148877517499e-05,3.210731353957536e-05,2.9511375225159438e-05,3.175949851474175e-05,5.070305091292001e-05
58,1.328979584336789e-05,9.782858616245649e-06,9.353836948664457e-06,9.093226440208285e-06,9.786065135764384e-06,9.115886351857897e-06,1.0339427675645073e-05
59,2.827556393218587e-05,3.0681639739378734e-05,2.1731443811954102e-05,2.7291234746006186e-05,2.6291024370907422e-05,2.2211034915316225e-05,2.6302493141907413e-05
60,1.6582245147757933e-05,1.5262853228126163e-05,1.878280026482265e-05,1.8118982916131867e-05,2.029505722636578e-05,1.849141788466926e-05,1.47150755543601e-05
61,1.30669548725322e-05,1.1073021311345321e-05,1.5620590561082085e-05,1.2890280463791977e-05,1.283777955359442e-05,1.3798429130471825e-05,1.0944234371688105e-05
62,0.0003317591159171034,8.06226325994261e-05,6.249795399943218e-05,7.810293024167139e-05,8.389264218300301e-05,7.443203323308422e-05,9.784762830235357e-05
63,4.965583849334893e-05,4.2933397175559474e-05,4.711632279960831e-05,4.2373018352989114e-05,4.732102529071461e-05,4.504252948639666e-05,4.8898745198493284e-05
64,8.338262735254485e-05,3.639007655591405e-05,7.841756870967372e-05,7.336329672677215e-05,7.206316441789446e-05,7.036390185265727e-05,6.81656246392061e-05
65,4.154012890657352e-05,3.684140846346234e-05,3.291641839674702e-05,2.8064917059140246e-05,2.5631706855890876e-05,2.8337288742414107e-05,4.190086945063074e-05
66,3.098813655892388e-05,1.8621548054144903e-05,1.9592671383991708e-05,2.0455997004521598e-05,2.0831192255102098e-05,2.3536617338246277e-05,3.323823876405032e-05
67,1.8641592664085712e-05,1.6398366402240923e-05,1.6459985260135128e-05,1.3302210329595912e-05,1.276425719760697e-05,1.3152144819121364e-05,1.7470967752620177e-05
68,0.00036336041702693573,7.678834968247499e-05,8.89492025467147e-05,7.581508116236306e-05,7.90077209522274e-05,8.842820483394275e-05,0.00011755137640229285
69,2.2875038864668974e-05,8.922636692969069e-06,9.494859598404405e-06,1.1481848342256826e-05,1.175276639936101e-05,1.1811025895643558e-05,1.4042523222284767e-05
70,0.00019348428740005775,3.850112941202234e-05,0.00013147512337497087,0.00012978044965226277,0.00014203369223359096,0.0001360830365285358,0.00021625401468106982
71,4.244442349151189e-05,3.0964373346160035e-05,3.3208304810508686e-05,3.699654659818216e-05,3.691502021323969e-05,3.4104036692124305e-05,3.753182452161868e-05
72,2.5073476692446403e-05,1.854202249812747e-05,1.8718669143962888e-05,1.7079819886008383e-05,1.6004842934999167e-05,1.7321492288012542e-05,2.8660222634932293e-05
73,3.553093715314324e-05,2.3155058692206674e-05,2.247310765462197e-05,2.4705655090188917e-05,2.382475868868123e-05,2.3499469053305067e-05,5.451251911227897e-05
74,6.369799990139795e-05,2.753194810952865e-05,3.0497827251593514e-05,3.0559991297292065e-05,3.0550753264309086e-05,2.845824859154324e-05,3.142900794066609e-05
75,5.7069699214564915e-05,4.002362889912082e-05,4.236688919737542e-05,4.6144660421512105e-05,4.8188804169316654e-05,4.2739613947236114e-05,6.680716600202009e-05
76,7.812627253771334e-06,1.13705648897994e-05,5.877195117388147e-06,6.2874299658569935e-06,5.848514176992324e-06,7.998945774238323e-06,7.117669301050969e-06
