,t,true_cdf_0.3,Standard_beran_cdf_0.3,Standard_beran_mise_0.3,True_proba_cdf_0.3,True_proba_mise_0.3,Subramanian_cdf_0.3,Subramanian_mise_0.3,NN_two_steps_cdf_0.3,NN_two_steps_mise_0.3,NN_two_steps_with_delta_cdf_0.3,NN_two_steps_with_delta_mise_0.3,NN_MAR_cdf_0.3,NN_MAR_mise_0.3,NN_MAR_with_delta_cdf_0.3,NN_MAR_with_delta_mise_0.3,Standard_Beran_delta_obs_only_cdf_0.3,Standard_Beran_delta_obs_only_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,Standard_beran_mise_0.5,True_proba_cdf_0.5,True_proba_mise_0.5,Subramanian_cdf_0.5,Subramanian_mise_0.5,NN_two_steps_cdf_0.5,NN_two_steps_mise_0.5,NN_two_steps_with_delta_cdf_0.5,NN_two_steps_with_delta_mise_0.5,NN_MAR_cdf_0.5,NN_MAR_mise_0.5,NN_MAR_with_delta_cdf_0.5,NN_MAR_with_delta_mise_0.5,Standard_Beran_delta_obs_only_cdf_0.5,Standard_Beran_delta_obs_only_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,Standard_beran_mise_0.7,True_proba_cdf_0.7,True_proba_mise_0.7,Subramanian_cdf_0.7,Subramanian_mise_0.7,NN_two_steps_cdf_0.7,NN_two_steps_mise_0.7,NN_two_steps_with_delta_cdf_0.7,NN_two_steps_with_delta_mise_0.7,NN_MAR_cdf_0.7,NN_MAR_mise_0.7,NN_MAR_with_delta_cdf_0.7,NN_MAR_with_delta_mise_0.7,Standard_Beran_delta_obs_only_cdf_0.7,Standard_Beran_delta_obs_only_mise_0.7
56,1.325840291039877,0.90276568940757,0.8979810564235278,0.0004984886545035175,0.8975396575550016,0.00039217304178758517,0.9598077542081315,0.00345165043904398,0.9218264057297099,0.0011337101979738504,0.9407750500889275,0.00172847966829749,0.96364309769938,0.0037878903579119483,0.9635543102972932,0.0037780993830878167,0.9772049113251426,0.005649456195311795,0.90276568940757,0.8979810564235278,0.0004984886545035175,0.8975396575550016,0.00039217304178758517,0.9598077542081315,0.00345165043904398,0.9218264057297099,0.0011337101979738504,0.9407750500889275,0.00172847966829749,0.96364309769938,0.0037878903579119483,0.9635543102972932,0.0037780993830878167,0.9772049113251426,0.005649456195311795,0.90276568940757,0.8979810564235278,0.0004984886545035175,0.8975396575550016,0.00039217304178758517,0.9598077542081315,0.00345165043904398,0.9218264057297099,0.0011337101979738504,0.9407750500889275,0.00172847966829749,0.96364309769938,0.0037878903579119483,0.9635543102972932,0.0037780993830878167,0.9772049113251426,0.005649456195311795
57,1.3493436614120262,0.9142902090529966,0.909759693926733,0.00047243017707608684,0.9096904941597884,0.0003721583387832781,0.9651012219823627,0.002789493058663767,0.9318905279255754,0.0010121836009307306,0.9486261324889762,0.0014437331442291928,0.9689719913999171,0.0030631246760318923,0.9688935631078018,0.0030555247607454146,0.979967968875123,0.004409414549207287,0.9142902090529966,0.909759693926733,0.00047243017707608684,0.9096904941597884,0.0003721583387832781,0.9651012219823627,0.002789493058663767,0.9318905279255754,0.0010121836009307306,0.9486261324889762,0.0014437331442291928,0.9689719913999171,0.0030631246760318923,0.9688935631078018,0.0030555247607454146,0.979967968875123,0.004409414549207287,0.9142902090529966,0.909759693926733,0.00047243017707608684,0.9096904941597884,0.0003721583387832781,0.9651012219823627,0.002789493058663767,0.9318905279255754,0.0010121836009307306,0.9486261324889762,0.0014437331442291928,0.9689719913999171,0.0030631246760318923,0.9688935631078018,0.0030555247607454146,0.979967968875123,0.004409414549207287
58,1.3728470317841757,0.9247859416171968,0.9196433969978506,0.000464379176129443,0.9199607778290698,0.00033957439739774393,0.9705689773899077,0.0022969737976527736,0.9402172971472935,0.0009101081714679581,0.9551893925826194,0.0011692395460475096,0.9733204645258863,0.002416095592813103,0.9732592880856484,0.0024110775726392743,0.9827302412896344,0.0034340671580591594,0.9247859416171968,0.9196433969978506,0.000464379176129443,0.9199607778290698,0.00033957439739774393,0.9705689773899077,0.0022969737976527736,0.9402172971472935,0.0009101081714679581,0.9551893925826194,0.0011692395460475096,0.9733204645258863,0.002416095592813103,0.9732592880856484,0.0024110775726392743,0.9827302412896344,0.0034340671580591594,0.9247859416171968,0.9196433969978506,0.000464379176129443,0.9199607778290698,0.00033957439739774393,0.9705689773899077,0.0022969737976527736,0.9402172971472935,0.0009101081714679581,0.9551893925826194,0.0011692395460475096,0.9733204645258863,0.002416095592813103,0.9732592880856484,0.0024110775726392743,0.9827302412896344,0.0034340671580591594
59,1.3963504021563249,0.9342960516232484,0.9285307235078163,0.0004492278109646154,0.929076865547686,0.00032604072031891583,0.9745692738223767,0.0017929237514799795,0.9477201907328332,0.0007533726714680138,0.9609711046093239,0.0009215115662706806,0.9770616580108522,0.0018798429859569151,0.9770134972116524,0.0018764926989345127,0.9846745931538213,0.002598301575481586,0.9342960516232484,0.9285307235078163,0.0004492278109646154,0.929076865547686,0.00032604072031891583,0.9745692738223767,0.0017929237514799795,0.9477201907328332,0.0007533726714680138,0.9609711046093239,0.0009215115662706806,0.9770616580108522,0.0018798429859569151,0.9770134972116524,0.0018764926989345127,0.9846745931538213,0.002598301575481586,0.9342960516232484,0.9285307235078163,0.0004492278109646154,0.929076865547686,0.00032604072031891583,0.9745692738223767,0.0017929237514799795,0.9477201907328332,0.0007533726714680138,0.9609711046093239,0.0009215115662706806,0.9770616580108522,0.0018798429859569151,0.9770134972116524,0.0018764926989345127,0.9846745931538213,0.002598301575481586
60,1.4198537725284741,0.9428687217373528,0.9372034115352943,0.00038349765915896353,0.9372244703032838,0.0002969037699057151,0.9786542587007435,0.0014308647046088606,0.9543653823562116,0.0006189628601366903,0.9661323147925698,0.0007090952125833822,0.980291933883198,0.00144112941634912,0.9802574165152221,0.001438977101538895,0.9864937059516624,0.001954088335133771,0.9428687217373528,0.9372034115352943,0.00038349765915896353,0.9372244703032838,0.0002969037699057151,0.9786542587007435,0.0014308647046088606,0.9543653823562116,0.0006189628601366903,0.9661323147925698,0.0007090952125833822,0.980291933883198,0.00144112941634912,0.9802574165152221,0.001438977101538895,0.9864937059516624,0.001954088335133771,0.9428687217373528,0.9372034115352943,0.00038349765915896353,0.9372244703032838,0.0002969037699057151,0.9786542587007435,0.0014308647046088606,0.9543653823562116,0.0006189628601366903,0.9661323147925698,0.0007090952125833822,0.980291933883198,0.00144112941634912,0.9802574165152221,0.001438977101538895,0.9864937059516624,0.001954088335133771
61,1.4433571429006236,0.9505561126135527,0.9438649994317617,0.00036875908037791594,0.944294354307077,0.00029167674720240703,0.9809240694190584,0.0010637452359954936,0.9599031495648098,0.0005286056843798894,0.9703275604063848,0.0005427093869133693,0.9829667002007433,0.0010866893727687814,0.9829383752588757,0.0010852939659829347,0.9874635551761226,0.0014077365731324746,0.9505561126135527,0.9438649994317617,0.00036875908037791594,0.944294354307077,0.00029167674720240703,0.9809240694190584,0.0010637452359954936,0.9599031495648098,0.0005286056843798894,0.9703275604063848,0.0005427093869133693,0.9829667002007433,0.0010866893727687814,0.9829383752588757,0.0010852939659829347,0.9874635551761226,0.0014077365731324746,0.9505561126135527,0.9438649994317617,0.00036875908037791594,0.944294354307077,0.00029167674720240703,0.9809240694190584,0.0010637452359954936,0.9599031495648098,0.0005286056843798894,0.9703275604063848,0.0005427093869133693,0.9829667002007433,0.0010866893727687814,0.9829383752588757,0.0010852939659829347,0.9874635551761226,0.0014077365731324746
62,1.4668605132727728,0.9574133342416271,0.9507057862899252,0.0003097944011515605,0.9511425265086568,0.00024676731447686204,0.9840670252087065,0.0008436608284395888,0.9652150660836475,0.00041111092168626557,0.9743334077846117,0.00040705128024562333,0.9855007705996893,0.00081624115719128,0.9854780318658382,0.000815276737489939,0.9884581623342021,0.0009963086226565695,0.9574133342416271,0.9507057862899252,0.0003097944011515605,0.9511425265086568,0.00024676731447686204,0.9840670252087065,0.0008436608284395888,0.9652150660836475,0.00041111092168626557,0.9743334077846117,0.00040705128024562333,0.9855007705996893,0.00081624115719128,0.9854780318658382,0.000815276737489939,0.9884581623342021,0.0009963086226565695,0.9574133342416271,0.9507057862899252,0.0003097944011515605,0.9511425265086568,0.00024676731447686204,0.9840670252087065,0.0008436608284395888,0.9652150660836475,0.00041111092168626557,0.9743334077846117,0.00040705128024562333,0.9855007705996893,0.00081624115719128,0.9854780318658382,0.000815276737489939,0.9884581623342021,0.0009963086226565695
63,1.4903638836449222,0.9634974503046758,0.956320626974738,0.00030580914333093245,0.9569709057799176,0.00022413514019983184,0.9866785937944974,0.0006589243562407931,0.9696443792101328,0.00033591773719908284,0.9776884498125012,0.0003019235666738182,0.9875628206251095,0.0006014179386393907,0.987545062010348,0.0006008264376170096,0.9894820425901257,0.0006995564116203054,0.9634974503046758,0.956320626974738,0.00030580914333093245,0.9569709057799176,0.00022413514019983184,0.9866785937944974,0.0006589243562407931,0.9696443792101328,0.00033591773719908284,0.9776884498125012,0.0003019235666738182,0.9875628206251095,0.0006014179386393907,0.987545062010348,0.0006008264376170096,0.9894820425901257,0.0006995564116203054,0.9634974503046758,0.956320626974738,0.00030580914333093245,0.9569709057799176,0.00022413514019983184,0.9866785937944974,0.0006589243562407931,0.9696443792101328,0.00033591773719908284,0.9776884498125012,0.0003019235666738182,0.9875628206251095,0.0006014179386393907,0.987545062010348,0.0006008264376170096,0.9894820425901257,0.0006995564116203054
64,1.5138672540170715,0.9688665347291048,0.9615767524186373,0.0002937270875868412,0.9624059423086219,0.00020196755085300405,0.9890737330771241,0.0005155070327293033,0.9737413535764897,0.0002851625459610021,0.9807952248892748,0.0002272313753927004,0.9894154740970023,0.0004411167118123597,0.9893987938364891,0.00044071184174407753,0.9903073115990664,0.00048003857191475217,0.9688665347291048,0.9615767524186373,0.0002937270875868412,0.9624059423086219,0.00020196755085300405,0.9890737330771241,0.0005155070327293033,0.9737413535764897,0.0002851625459610021,0.9807952248892748,0.0002272313753927004,0.9894154740970023,0.0004411167118123597,0.9893987938364891,0.00044071184174407753,0.9903073115990664,0.00048003857191475217,0.9688665347291048,0.9615767524186373,0.0002937270875868412,0.9624059423086219,0.00020196755085300405,0.9890737330771241,0.0005155070327293033,0.9737413535764897,0.0002851625459610021,0.9807952248892748,0.0002272313753927004,0.9894154740970023,0.0004411167118123597,0.9893987938364891,0.00044071184174407753,0.9903073115990664,0.00048003857191475217
65,1.5373706243892207,0.9735787968386812,0.9657919742389356,0.00026300363116518087,0.96647351864391,0.0001993286235425075,0.991250251478827,0.0003973717725771923,0.9768816021903752,0.00020899169572178043,0.9830916491028708,0.00016047987586555732,0.9907664101897453,0.0003120833410023729,0.9907536280997489,0.00031182728093230474,0.9907858341672968,0.0003125570347986466,0.9735787968386812,0.9657919742389356,0.00026300363116518087,0.96647351864391,0.0001993286235425075,0.991250251478827,0.0003973717725771923,0.9768816021903752,0.00020899169572178043,0.9830916491028708,0.00016047987586555732,0.9907664101897453,0.0003120833410023729,0.9907536280997489,0.00031182728093230474,0.9907858341672968,0.0003125570347986466,0.9735787968386812,0.9657919742389356,0.00026300363116518087,0.96647351864391,0.0001993286235425075,0.991250251478827,0.0003973717725771923,0.9768816021903752,0.00020899169572178043,0.9830916491028708,0.00016047987586555732,0.9907664101897453,0.0003120833410023729,0.9907536280997489,0.00031182728093230474,0.9907858341672968,0.0003125570347986466
66,1.5608739947613701,0.9776917884313395,0.9691086672745222,0.0002668782817302796,0.9698971338882454,0.00019550444889462982,0.9925838666770764,0.0002957304938230048,0.9794997193713155,0.0001645237748168678,0.9850027572003094,0.00011354586056830758,0.9918775591732316,0.00021554058192417485,0.9918667774827138,0.00021539650567950722,0.9911122650392453,0.00019518900920976974,0.9776917884313395,0.9691086672745222,0.0002668782817302796,0.9698971338882454,0.00019550444889462982,0.9925838666770764,0.0002957304938230048,0.9794997193713155,0.0001645237748168678,0.9850027572003094,0.00011354586056830758,0.9918775591732316,0.00021554058192417485,0.9918667774827138,0.00021539650567950722,0.9911122650392453,0.00019518900920976974,0.9776917884313395,0.9691086672745222,0.0002668782817302796,0.9698971338882454,0.00019550444889462982,0.9925838666770764,0.0002957304938230048,0.9794997193713155,0.0001645237748168678,0.9850027572003094,0.00011354586056830758,0.9918775591732316,0.00021554058192417485,0.9918667774827138,0.00021539650567950722,0.9911122650392453,0.00019518900920976974
67,1.5843773651335193,0.9812617028141599,0.9727132607341008,0.00022547883802178064,0.9734380752968955,0.0001691580106915872,0.9938224735317576,0.0002175143850113507,0.9819636982498874,0.00014825595730007563,0.9868925786966862,8.409490944157017e-05,0.9929973256245758,0.00014909864833574584,0.9929871559999374,0.00014901936256106352,0.9916735584554182,0.0001210645202021679,0.9812617028141599,0.9727132607341008,0.00022547883802178064,0.9734380752968955,0.0001691580106915872,0.9938224735317576,0.0002175143850113507,0.9819636982498874,0.00014825595730007563,0.9868925786966862,8.409490944157017e-05,0.9929973256245758,0.00014909864833574584,0.9929871559999374,0.00014901936256106352,0.9916735584554182,0.0001210645202021679,0.9812617028141599,0.9727132607341008,0.00022547883802178064,0.9734380752968955,0.0001691580106915872,0.9938224735317576,0.0002175143850113507,0.9819636982498874,0.00014825595730007563,0.9868925786966862,8.409490944157017e-05,0.9929973256245758,0.00014909864833574584,0.9929871559999374,0.00014901936256106352,0.9916735584554182,0.0001210645202021679
68,1.6078807355056688,0.9843427724901408,0.9754865156808399,0.00020062382340081707,0.9761896677396256,0.00015717212594284686,0.9948105533338562,0.00016142148948256337,0.9839028597929287,0.00012543083475708073,0.9883438326584887,5.957909549672275e-05,0.9938476873853788,9.931803238540187e-05,0.9938395355529,9.926171199065403e-05,0.9919391936832023,6.74318996482648e-05,0.9843427724901408,0.9754865156808399,0.00020062382340081707,0.9761896677396256,0.00015717212594284686,0.9948105533338562,0.00016142148948256337,0.9839028597929287,0.00012543083475708073,0.9883438326584887,5.957909549672275e-05,0.9938476873853788,9.931803238540187e-05,0.9938395355529,9.926171199065403e-05,0.9919391936832023,6.74318996482648e-05,0.9843427724901408,0.9754865156808399,0.00020062382340081707,0.9761896677396256,0.00015717212594284686,0.9948105533338562,0.00016142148948256337,0.9839028597929287,0.00012543083475708073,0.9883438326584887,5.957909549672275e-05,0.9938476873853788,9.931803238540187e-05,0.9938395355529,9.926171199065403e-05,0.9919391936832023,6.74318996482648e-05
