,t,true_cdf_0.3,Standard_beran_cdf_0.3,NN_BCE_cdf_0.3,Standard_beran_mise_0.3,NN_BCE_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,NN_BCE_cdf_0.5,Standard_beran_mise_0.5,NN_BCE_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,NN_BCE_cdf_0.7,Standard_beran_mise_0.7,NN_BCE_mise_0.7
21,0.0039416264192997374,0.01033372629084587,0.008822747481133215,0.008915016996615278,3.460836512377572e-05,4.4421900393095254e-05,0.0023713144822725385,0.002906661339214621,0.002657024954105487,5.664870297772187e-06,6.700273327354139e-06,0.00034263829794174255,0.0006497306251695284,0.0005289183746935139,1.5626024043284933e-06,1.6772327755636195e-06
22,0.03347553909524059,0.01336087553049158,0.011731035334377027,0.011999073324209892,4.472892850385024e-05,6.0673240450270975e-05,0.0032095497241410287,0.004024693766328239,0.0038275093545668127,8.850981740537231e-06,1.1822492892142404e-05,0.0004886930301535823,0.0008533064058075201,0.0006651479646017811,1.8499053011610628e-06,1.8837469079167637e-06
23,0.06300945177118145,0.017125164830567054,0.014514302904412486,0.01480103419089011,6.048560984804254e-05,7.91787808000698e-05,0.004305530218774852,0.00524677600130067,0.0050418967521040125,1.2502728766467376e-05,1.882343177063378e-05,0.0006906981941103396,0.001184492568148,0.0009217842648884195,3.1193769864686797e-06,2.8697213884410834e-06
24,0.0925433644471223,0.021760984114240364,0.018735619930393247,0.019206650818014072,7.154344053382891e-05,9.455908513461225e-05,0.0057246990804985295,0.007028170065831598,0.006756694801613354,1.6850021733852283e-05,2.4734394851840352e-05,0.0009673946806544166,0.0016463608093856153,0.001297524813595795,4.1558059502836805e-06,3.6677727156122232e-06
25,0.12207727712306315,0.027415095325542965,0.024270400805328097,0.025089850644508516,8.981097533433945e-05,0.00011824991057204283,0.007544649943908918,0.009116057420539227,0.008753177518812801,2.081761776605507e-05,2.9487562307821187e-05,0.0013427470421134029,0.0023693303063220417,0.0019003637923855155,7.5157004338777354e-06,6.573549735673145e-06
26,0.151611189799004,0.03424471532346435,0.030567054902434613,0.03171897621087281,0.0001238417304898919,0.00016693379177725427,0.009856073808750232,0.011676987172058052,0.01116566601265073,2.5806724766247597e-05,3.468092343130691e-05,0.0018470238516407782,0.0031516936936885303,0.0025268708131104133,1.1391036116000395e-05,1.0486653780845424e-05
27,0.18114510247494486,0.04241473456369249,0.03784163492617366,0.039289441756802455,0.0001464882650303573,0.0001866529796325258,0.01276340069918388,0.015072956929415135,0.014415930273181532,3.6432151902998765e-05,4.8894789668742325e-05,0.0025179785176396166,0.004287838246230233,0.003556714417033035,1.633514334971085e-05,1.4975810060597346e-05
28,0.2106790151508856,0.05209403487691346,0.04650925472370511,0.04828171808328667,0.00019695217306495779,0.00024409603772651664,0.016385017366326787,0.019164444133051614,0.01846253949266459,4.4979211318070265e-05,6.166594069016137e-05,0.0034020994975329085,0.005819354302629349,0.004819082743332942,2.1489387886425823e-05,1.8647829783633325e-05
29,0.24021292782682646,0.06345091905424352,0.056642264998952016,0.05895452251749738,0.0002575531941971614,0.00030809638777805934,0.020852937884185088,0.023887685732413462,0.023003802881213717,5.647867919229058e-05,7.3672088142392e-05,0.004555883609082478,0.007619666635541855,0.006194956323466002,2.9194717290530814e-05,2.3411699541799992e-05
30,0.2697468405027673,0.07664772333887439,0.06751050052052651,0.07020526602653977,0.00031799782060156634,0.00036118003607862913,0.026311807749545425,0.029719869745115948,0.028438866299338533,6.493289579489481e-05,8.414270092463805e-05,0.006047069382216894,0.009802578172017155,0.00784703874321481,4.008580273100538e-05,2.842643917576125e-05
