,t,true_cdf_0.3,Standard_beran_cdf_0.3,True_proba_cdf_0.3,NN_BCE_cdf_0.3,LogisticRegression_cdf_0.3,DecisionTree_cdf_0.3,KNN_cdf_0.3,Standard_beran_mise_0.3,True_proba_mise_0.3,NN_BCE_mise_0.3,LogisticRegression_mise_0.3,DecisionTree_mise_0.3,KNN_mise_0.3,true_cdf_0.5,Standard_beran_cdf_0.5,True_proba_cdf_0.5,NN_BCE_cdf_0.5,LogisticRegression_cdf_0.5,DecisionTree_cdf_0.5,KNN_cdf_0.5,Standard_beran_mise_0.5,True_proba_mise_0.5,NN_BCE_mise_0.5,LogisticRegression_mise_0.5,DecisionTree_mise_0.5,KNN_mise_0.5,true_cdf_0.7,Standard_beran_cdf_0.7,True_proba_cdf_0.7,NN_BCE_cdf_0.7,LogisticRegression_cdf_0.7,DecisionTree_cdf_0.7,KNN_cdf_0.7,Standard_beran_mise_0.7,True_proba_mise_0.7,NN_BCE_mise_0.7,LogisticRegression_mise_0.7,DecisionTree_mise_0.7,KNN_mise_0.7
37,0.437998684509427,0.19293044701071704,0.17715907307402176,0.1794277622774425,0.17881254677060934,0.1328255209297901,0.16941247834112322,0.173702612593717,0.000646660388705387,0.0005776151123888247,0.0006536138270792476,0.003881070707736998,0.0010032741105897621,0.0010575540667680807,0.08423181027425802,0.09012233815537556,0.08979662567952473,0.0849087996188154,0.0751786340427592,0.08606935344091317,0.08032841323440394,0.0002108608554882905,0.00019595596968543304,0.00019281853674046765,0.00019167495748491405,0.0001896406647501843,0.00029368255569586137,0.025674826797495064,0.037151384969246776,0.035898776729033896,0.03413943648710288,0.05569070524833905,0.04381179357239004,0.03946753932139301,0.00023557193694587176,0.00015225102429424628,0.00013311801907001938,0.0009602057909779791,0.00042470202022473264,0.0002969359979300842
38,0.46971183090922564,0.2231978784340245,0.2041245073484332,0.20651578812985194,0.20576058130642688,0.1589177222066512,0.19520563980798514,0.20017964450917652,0.0008548563159243316,0.0007880445850750654,0.0008695459023607111,0.004485203841857978,0.0013358259903804924,0.001371029989310218,0.10178486914797785,0.10792773842502071,0.10786493022740942,0.10154997165579129,0.09894145221759372,0.10537657479183656,0.10122255157357374,0.0002542636243514062,0.00022213796898504833,0.00022938889763640801,0.00015696502887929437,0.00023646489369225662,0.00035372090297305426,0.03267650731779482,0.04611043379569449,0.04487249113333602,0.041789016494003545,0.07011673570169488,0.052934388691107614,0.04942827927621816,0.0003031738066974049,0.00020120250006847376,0.00016024002368235295,0.0014764682314726526,0.0005353255981898132,0.0004128551462765431
39,0.501424977309024,0.2559998715891044,0.23610947502051385,0.23782132236209233,0.23716058036020118,0.19086033776662792,0.22603694349137268,0.2324148038632308,0.0009737117458452662,0.0009374142129555923,0.001026618724050143,0.00470240647430212,0.0015580448851661578,0.0016326049895282854,0.12186053475049502,0.12783199991807148,0.12778472539003125,0.12025468123382799,0.12480555293573502,0.1266823336912156,0.12318507024171269,0.0002735839592554166,0.00025115367372241114,0.00027095440914702063,0.00023942879399852914,0.00031640440325045934,0.000409172354411604,0.04118254323964364,0.05668612399211948,0.055405649299618984,0.05080895040301429,0.08523724218477444,0.06286891837828545,0.06026448213823879,0.0003938438285456859,0.00026226117540947955,0.00018540927528813703,0.00204424979046028,0.0006406863668854467,0.0005380496994748393
40,0.5331381237088224,0.29115399741716735,0.2693227257182744,0.2719949718408565,0.27180423581633206,0.227512760921846,0.2610783600430906,0.2680154347246614,0.0011224735681734845,0.0010178462256186915,0.001121385049789349,0.004596931204279962,0.0016812067473745973,0.0017618630470729484,0.14456642304358558,0.1502722684486336,0.15058650008616795,0.14188468051969946,0.153416149421558,0.150811175021363,0.14786520823298233,0.0003135742630120719,0.0002757366320220192,0.0003085101786413342,0.0003351658490984724,0.0003686273877961854,0.0004777618004179805,0.05140142867623307,0.06960500460282723,0.06756910026594444,0.06161885826327866,0.10100425293145944,0.0744763447716013,0.07254784298650377,0.000510874353545453,0.00033552560918699917,0.00021563116848225035,0.0025769476598934897,0.0007347610974905497,0.0006562739457240492
41,0.5648512701086208,0.32841064511842083,0.3063425674924074,0.3092301544084263,0.3098165435765947,0.269026296941415,0.3002793074155759,0.30824591452217587,0.001280870987490298,0.0011351426693987504,0.001261820305549289,0.004197273271538399,0.0017504886318174602,0.0018774693581669168,0.1699620209134094,0.17556612806918812,0.17582157244911634,0.16597712053327743,0.1837061102709874,0.17695554718805107,0.17401794057120987,0.00032353713858736233,0.00028550436952581805,0.00034165557617030234,0.0004865685422971345,0.00043147393047803775,0.0005463988658419162,0.0635417797272817,0.08429038940569669,0.08081724987631639,0.07349616893040703,0.11702892126056577,0.08733371965701607,0.08590060840458896,0.0006627067675304441,0.0004012578252641735,0.00024381202366067768,0.003005884950946907,0.000846900935725027,0.0007663212179203086
42,0.5965644165084192,0.36745719362325413,0.34324142538867725,0.3458469414906213,0.3472231855398234,0.3101694454144806,0.3386677635290704,0.34600236745443075,0.001444806093577917,0.001288135948279103,0.0014062945006301187,0.0040648152266613904,0.001889573509440841,0.002063332977747106,0.19805060112823314,0.20362078159319263,0.20423546132422593,0.19339136335764714,0.21689674399179426,0.2058719109153703,0.20369389867367552,0.00038016470658436697,0.0003329251405873349,0.0003960591602059569,0.0007192847352153322,0.0005082331810363282,0.0006970457163627283,0.07780476249016828,0.1005642109258245,0.09690302770753322,0.08834518315718029,0.13505635328685947,0.10254798123177183,0.10169085949932966,0.0008312285494845469,0.0005018039844950138,0.0003187308162523205,0.00345755409515399,0.0009433338559130136,0.0009810742287493536
43,0.6282775629082176,0.4079253043736969,0.38431974173494404,0.3865799864105183,0.38845025074706135,0.3557995156363117,0.3811908463310831,0.38905048994857805,0.0015525950270701026,0.0013333094954856755,0.0014201197559558262,0.003585276944322696,0.0018573488093747868,0.00209247894927002,0.2287728169373301,0.23466704523481255,0.23552753976897495,0.22403615863240067,0.25155333936007673,0.23749924113608784,0.23532352129047332,0.0004616775312240765,0.00039282788689518565,0.0004514078554607106,0.0009687439051564629,0.0005852150562086053,0.0008681642025946398,0.0943754630005122,0.1200984238251795,0.11498372273699281,0.10537594824373635,0.1538296197047215,0.12035806901436179,0.11948584475903631,0.0010246694315076488,0.0006079777539811741,0.0003904112510699959,0.003763865042530792,0.0010515123204617458,0.001156011388830481
44,0.659990709308016,0.4494010892045046,0.42273870171709454,0.42553408958388184,0.4273835852528221,0.3997153024997416,0.42118615693141237,0.42952913538060417,0.001565688412493722,0.0014385653689463506,0.0014587126623459268,0.003322471172637321,0.001919194481727503,0.0020871816236056346,0.26200253724303946,0.2671189684081385,0.26866735342629045,0.2567137762622923,0.2873395679003736,0.2705197205889065,0.26776302306391747,0.00047854387341948886,0.0004469816796397842,0.0005075447244267814,0.0011490066486692276,0.0005989072065075385,0.0009881587884115444,0.11341352681690187,0.14069823786173616,0.13565489138020384,0.125531454073771,0.1743965898039427,0.14057594307604115,0.13953919690779132,0.0011892773865598764,0.0007381149146505482,0.0004914872413586359,0.0039933930342623235,0.0011751916460271397,0.001283723913731831
45,0.6917038557078143,0.49143770055978875,0.4640952269261727,0.46590969192417864,0.46817423888546955,0.44543158859740467,0.46377897014241376,0.4705810775530571,0.0016290908598385898,0.0015207220613043554,0.0015327690153913054,0.0030011741815492636,0.0019539094425216263,0.0020227551608920018,0.29754538643774986,0.30290693079783343,0.3043327919070994,0.29210443591898416,0.3247718671120458,0.30618568536191637,0.30284322637821126,0.0005147758286815714,0.0005073493241341256,0.0005719730358796634,0.001309917543348636,0.0006276929191835847,0.001055628734737344,0.13504350534269044,0.16339381666148822,0.15882889948299397,0.14857691725245661,0.19635767512289484,0.16364152738473947,0.16279253372762434,0.0013451286450798464,0.0008752617739841345,0.000631293317550926,0.0040967884749042015,0.0013667302760305968,0.0014888206341704881
46,0.7234170021076127,0.5335697116887348,0.5055606439203356,0.5084377219217973,0.5102644250336058,0.49253916779223283,0.5070388767637408,0.5131864842683781,0.0016260066786950482,0.0014760299115780457,0.0015014079757611856,0.0025369223250463913,0.001823058736520939,0.0019205441524746932,0.3351403090360283,0.3406779066881041,0.34219480999702123,0.3301753826149917,0.3635975652328899,0.3440625797097658,0.3406826234648436,0.0006231208167035933,0.0005998881567639004,0.0006638529274326251,0.0014954854214119884,0.0007361111420474417,0.0011733162483487248,0.1593454372056034,0.19076383663826693,0.185520207965434,0.17506083801610928,0.2207035819235801,0.1904861151480617,0.18838605589390084,0.001676321446810774,0.0010766631652220054,0.0007965337826671389,0.004174314690760664,0.0016519548595391263,0.0017072052956779943
